CustomerId,Surname,Gender,Birth Date,City,Country,Salary,CreditScore,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Balance,Exited
15634602,Hargrave,Female,1979-12-18,Marseile,France,101348.88,619.0,2.0,1.0,1.0,1,,1
15647311,Hill,Female,1980-08-15,Barcelona,Spain,112542.58,608.0,1.0,1.0,0.0,1,83807.86,0
15619304,Onio,Female,1979-11-01,Marseile,France,113931.57,502.0,8.0,3.0,1.0,0,159660.8,1
15701354,Boni,Female,1982-08-24,Marseile,France,93826.63,699.0,1.0,2.0,0.0,0,,0
15737888,Mitchell,Female,1978-01-09,Barcelona,Spain,79084.1,850.0,2.0,1.0,1.0,1,125510.82,0
15574012,Chu,Male,1977-06-07,Valencia,Spain,149756.71,645.0,8.0,2.0,1.0,0,113755.78,1
15592531,Bartlett,Male,1971-12-17,Paris,France,10062.8,822.0,7.0,2.0,1.0,1,,0
15656148,Obinna,Female,1992-10-22,Berlin,Germany,119346.88,376.0,4.0,4.0,1.0,0,115046.74,1
15792365,He,Male,1977-10-20,Lyon,France,74940.5,501.0,4.0,2.0,0.0,1,142051.07,0
15592389,H?,Male,1994-02-17,Paris,France,71725.73,684.0,2.0,1.0,1.0,1,134603.88,0
15767821,Bearce,Male,1990-11-18,Paris,France,80181.12,528.0,6.0,2.0,0.0,0,102016.72,0
15737173,Andrews,Male,1997-10-25,Seville,Spain,76390.01,497.0,3.0,2.0,1.0,0,,0
15632264,Kay,Female,1987-08-17,Marseile,France,26260.98,476.0,10.0,2.0,1.0,0,,0
15691483,Chin,Female,1996-12-04,Marseile,France,190857.79,549.0,5.0,2.0,0.0,0,,0
15600882,Scott,Female,1986-10-22,Palma,Spain,65951.65,635.0,7.0,2.0,1.0,1,,0
15643966,Goforth,Male,1976-12-13,Munich,Germany,64327.26,616.0,3.0,2.0,0.0,1,143129.41,0
15737452,Romeo,Male,1963-07-21,Berlin,Germany,5097.67,653.0,1.0,1.0,,0,132602.88,1
15788218,Henderson,Female,1997-08-18,Barcelona,Spain,14406.41,549.0,9.0,2.0,1.0,1,,0
15661507,Muldrow,Male,1976-03-14,Seville,Spain,158684.81,587.0,6.0,1.0,0.0,0,,0
15568982,Hao,Female,1997-02-18,Paris,France,54724.03,726.0,6.0,2.0,1.0,1,,0
15577657,McDonald,Male,1980-01-26,Paris,France,170886.17,732.0,8.0,2.0,1.0,1,,0
15597945,Dellucci,Female,1989-05-10,Valencia,Spain,138555.46,636.0,8.0,2.0,1.0,0,,0
15699309,Gerasimov,Female,1983-11-01,Valencia,Spain,118913.53,510.0,4.0,1.0,1.0,0,,1
15725737,Mosman,Male,1975-06-03,Paris,France,8487.75,669.0,3.0,2.0,0.0,1,,0
15625047,Yen,Female,1983-01-17,Paris,France,187616.16,846.0,5.0,1.0,1.0,1,,0
15738191,Maclean,Male,1996-01-05,Paris,France,124508.29,577.0,3.0,2.0,0.0,1,,0
15736816,Young,Male,1985-09-07,Hamburg,Germany,170041.95,756.0,2.0,1.0,1.0,1,136815.64,0
15700772,Nebechi,Male,1977-03-11,Paris,France,38433.35,571.0,9.0,2.0,0.0,0,,0
15728693,McWilliams,Female,1978-03-22,Hamburg,Germany,100187.43,574.0,3.0,1.0,1.0,1,141349.43,0
15656300,Lucciano,Male,1992-02-09,Paris,France,53483.21,411.0,0.0,2.0,1.0,1,59697.17,0
15589475,Azikiwe,Female,1982-05-17,Palma,Spain,140469.38,591.0,3.0,3.0,1.0,0,,1
15706552,Odinakachukwu,Male,1985-12-23,Paris,France,156731.91,533.0,7.0,1.0,0.0,1,85311.7,0
15750181,Sanderson,Male,1980-05-31,Berlin,Germany,81898.81,553.0,9.0,2.0,0.0,0,110112.54,0
15659428,Maggard,Female,1979-06-21,Barcelona,Spain,34410.55,520.0,6.0,2.0,1.0,1,,0
15732963,Clements,Female,1992-05-04,Valencia,Spain,142033.07,722.0,9.0,2.0,1.0,1,,0
15794171,Lombardo,Female,1976-09-28,Lyon,France,27822.99,475.0,0.0,1.0,1.0,0,134264.04,1
15788448,Watson,Male,1990-11-21,Seville,Spain,114066.77,490.0,3.0,1.0,0.0,1,145260.23,0
15729599,Lorenzo,Male,1988-02-11,Valencia,Spain,98453.45,804.0,7.0,1.0,0.0,1,76548.6,0
